,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
276,224,Jaden Ivey,SG,21,DET,48,1340,13.9,.567,.360,.337,5.4,10.3,7.8,19.5,1.2,1.7,15.3,24.5,0.4,0.5,0.9,.031,-0.5,-1.7,-2.2,-0.1
277,225,Andre Jackson Jr.,SG,22,MIL,42,481,8.7,.626,.458,.133,8.4,11.7,10.1,10.1,1.3,0.7,19.3,9.6,0.5,0.3,0.9,.088,-3.3,-0.1,-3.4,-0.2
278,226,GG Jackson II,PF,19,MEM,21,393,14.8,.562,.518,.292,5.4,14.9,10.0,7.4,1.5,2.8,8.2,22.6,0.1,0.5,0.6,.073,0.1,-0.8,-0.7,0.1
279,227,Isaiah Jackson,C,22,IND,41,542,21.2,.688,.018,.440,13.1,22.5,17.8,8.8,2.2,6.6,13.0,17.7,1.5,0.7,2.2,.193,-0.2,1.7,1.5,0.5
280,228,Jaren Jackson Jr.,C,24,MEM,49,1560,17.1,.560,.326,.359,4.0,15.4,9.5,11.7,1.6,4.6,10.4,30.1,0.1,2.1,2.2,.069,-0.3,0.4,0.1,0.8
281,229,Reggie Jackson,PG,33,DEN,53,1221,12.9,.546,.369,.134,2.0,8.1,5.1,23.4,1.3,0.6,11.8,21.4,0.8,1.0,1.8,.069,-1.0,-1.3,-2.3,-0.1
282,230,Trayce Jackson-Davis,PF,23,GSW,38,497,20.4,.677,.000,.433,13.0,20.6,16.8,10.0,1.2,5.4,12.7,17.3,1.2,0.7,1.9,.180,0.5,0.8,1.2,0.4
283,231,LeBron James,PF,39,LAL,48,1680,22.4,.608,.298,.309,3.0,19.6,11.6,35.5,1.8,1.5,13.7,29.1,2.8,2.1,4.8,.138,5.0,0.8,5.8,3.3
284,232,Jaime Jaquez Jr.,SF,22,MIA,47,1384,12.6,.579,.288,.246,4.6,10.2,7.4,13.3,1.8,0.8,13.1,19.2,0.7,1.6,2.2,.077,-2.3,-0.1,-2.4,-0.1
285,233,DaQuan Jeffries,SG,26,NYK,10,30,5.0,.427,.417,.167,0.0,18.5,9.3,9.5,0.0,0.0,7.2,19.7,-0.1,0.0,0.0,-0.045,-5.1,-1.5,-6.7,0.0
286,234,Trey Jemison,C,24,TOT,7,100,9.7,.517,.000,.238,11.6,10.2,11.0,5.7,1.5,5.5,17.7,12.1,0.0,0.1,0.1,.062,-6.4,-0.5,-6.8,-0.1
287,234,Trey Jemison,C,24,WAS,2,1,-35.9,,,,0.0,100.0,53.4,0.0,0.0,0.0,100.0,42.1,0.0,0.0,0.0,-1.190,-30.4,-3.6,-34.0,0.0
