,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
372,303,Skylar Mays,PG,26,POR,21,356,11.8,.457,.355,.123,2.7,9.5,5.9,31.8,1.9,0.8,11.0,19.6,0.0,0.2,0.2,.030,-2.0,-0.5,-2.5,0.0
373,303,Skylar Mays,SG,26,LAL,7,54,11.4,.500,.313,.000,2.1,5.9,4.1,19.5,2.6,1.6,5.9,13.6,0.0,0.1,0.1,.079,-2.6,0.9,-1.7,0.0
374,304,Miles McBride,PG,23,NYK,40,486,13.6,.577,.574,.113,2.3,6.4,4.3,12.2,2.2,0.6,6.8,19.3,0.7,0.6,1.3,.124,-0.5,0.9,0.4,0.3
375,305,CJ McCollum,PG,32,NOP,39,1248,18.2,.601,.542,.163,2.1,12.9,7.5,21.5,1.7,2.4,9.4,23.5,2.2,1.5,3.7,.142,3.3,0.4,3.7,1.8
376,306,T.J. McConnell,PG,31,IND,43,749,19.1,.566,.065,.160,3.4,14.0,8.7,41.8,2.8,0.4,16.9,21.0,1.4,0.6,2.0,.125,1.5,0.0,1.5,0.7
377,307,Jaden McDaniels,SF,23,MIN,42,1213,9.7,.596,.393,.096,3.2,7.2,5.3,6.7,1.5,1.5,12.3,15.7,0.3,1.8,2.1,.085,-3.0,0.8,-2.1,0.0
378,308,Jalen McDaniels,SF,26,TOR,32,289,4.4,.421,.500,.192,3.4,12.5,7.9,7.3,1.9,0.9,13.8,19.4,-0.7,0.2,-0.5,-0.078,-7.5,-1.6,-9.0,-0.5
379,309,Doug McDermott,SF,32,TOT,47,707,9.3,.618,.806,.079,1.2,6.2,3.7,11.0,0.7,0.2,9.7,14.7,0.5,0.1,0.6,.039,-1.2,-2.1,-3.3,-0.2
380,309,Doug McDermott,SF,32,SAS,46,700,9.5,.620,.805,.079,1.2,6.3,3.7,11.1,0.7,0.2,9.7,14.8,0.5,0.1,0.6,.041,-1.2,-2.0,-3.2,-0.2
381,309,Doug McDermott,SF,32,IND,1,7,-7.2,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-0.156,-9.6,-3.7,-13.4,0.0
382,310,JaVale McGee,C,36,SAC,39,310,18.6,.634,.034,.371,13.2,28.0,20.4,6.8,1.4,5.5,18.7,22.8,0.2,0.5,0.6,.097,-2.0,0.3,-1.6,0.0
383,311,Bryce McGowens,SG,21,CHO,42,703,9.0,.580,.464,.315,2.3,10.9,6.4,7.8,1.1,0.5,10.8,14.3,0.3,0.1,0.4,.028,-3.9,-1.4,-5.3,-0.6
384,312,Jordan McLaughlin,PG,27,MIN,30,279,14.6,.522,.568,.108,4.4,8.9,6.8,25.5,3.9,1.6,12.4,14.0,0.3,0.6,0.9,.157,0.6,4.4,5.0,0.5
385,313,De'Anthony Melton,SG,25,PHI,33,959,13.1,.540,.588,.229,3.1,12.2,7.6,14.7,2.7,1.4,9.5,17.7,0.7,1.2,1.9,.096,-0.7,1.0,0.3,0.6
386,314,Nathan Mensah,C,25,CHO,25,307,5.0,.496,.000,.429,10.1,13.9,11.9,3.6,1.0,4.2,29.6,6.7,0.0,0.1,0.1,.016,-8.8,-0.2,-9.0,-0.5
387,315,Sam Merrill,SG,27,CLE,36,568,15.5,.641,.863,.048,2.8,9.7,6.3,13.6,1.1,0.2,4.5,18.5,1.4,0.7,2.0,.173,2.8,0.0,2.7,0.7
388,316,Chimezie Metu,C,26,PHO,37,447,13.9,.621,.392,.331,6.6,20.9,14.1,5.8,2.1,1.8,15.3,17.1,0.4,0.6,1.0,.103,-1.6,0.2,-1.4,0.1
389,317,Vasilije Micić,PG,30,TOT,31,387,8.9,.521,.462,.183,0.3,6.7,3.6,28.3,1.1,0.7,22.2,16.2,-0.1,0.3,0.2,.026,-3.5,-1.6,-5.1,-0.3
390,317,Vasilije Micić,PG,30,OKC,30,361,7.9,.498,.495,.209,0.3,6.8,3.7,25.8,1.2,0.8,22.6,15.4,-0.2,0.3,0.1,.017,-4.0,-1.5,-5.5,-0.3
391,317,Vasilije Micić,PG,30,CHO,1,26,22.6,.692,.231,.000,0.0,4.5,2.2,64.4,0.0,0.0,18.8,26.7,0.1,0.0,0.1,.149,4.0,-3.5,0.6,0.0
392,318,Khris Middleton,SF,32,MIL,43,1129,16.7,.590,.388,.191,2.6,14.9,8.9,27.2,1.6,0.9,14.2,23.6,1.4,1.0,2.4,.104,1.0,-0.2,0.8,0.8
393,319,Brandon Miller,SF,21,CHO,46,1443,12.6,.553,.430,.159,2.9,12.0,7.2,11.2,1.3,1.5,10.0,23.0,0.0,0.4,0.4,.013,-1.3,-1.9,-3.2,-0.4
394,320,Jordan Miller,SF,24,LAC,4,16,12.1,.700,.200,.000,14.7,6.8,10.6,0.0,0.0,0.0,16.7,16.3,0.0,0.0,0.0,.084,-1.0,-4.4,-5.4,0.0
396,321,Leonard Miller,SF,20,MIN,6,21,28.6,.750,.300,.000,5.8,46.2,27.3,9.1,2.3,4.2,9.1,23.1,0.0,0.1,0.1,.261,3.6,5.2,8.8,0.1
397,322,Dariq Whitehead,SF,19,BRK,2,24,4.8,.255,.600,.400,0.0,18.5,9.0,15.1,0.0,3.7,0.0,10.5,0.0,0.0,0.0,-0.031,-5.5,-2.4,-7.9,0.0
398,323,Patty Mills,PG,35,ATL,19,202,6.5,.500,.667,.000,2.6,8.3,5.3,8.6,2.1,0.4,13.6,12.0,-0.1,0.1,0.0,.005,-4.3,0.3,-4.0,-0.1
399,324,Shake Milton,SG,27,TOT,39,503,8.3,.494,.327,.267,1.9,9.9,6.2,13.7,1.7,0.9,13.2,18.6,-0.3,0.8,0.4,.041,-5.0,0.7,-4.2,-0.3
400,324,Shake Milton,SG,27,MIN,38,491,8.2,.496,.331,.275,1.8,9.7,6.0,14.1,1.6,0.9,13.5,18.6,-0.3,0.8,0.4,.042,-4.9,0.7,-4.3,-0.3
401,324,Shake Milton,SG,27,DET,1,12,10.4,.400,.200,.000,9.2,19.2,14.1,0.0,4.0,0.0,0.0,17.6,0.0,0.0,0.0,.000,-6.0,3.6,-2.5,0.0
402,325,Justin Minaya,SF,24,POR,16,140,4.7,.365,.636,.273,6.1,7.7,6.9,5.6,1.8,3.2,16.9,9.0,-0.2,0.1,0.0,-0.016,-5.5,-0.3,-5.8,-0.1
403,326,Josh Minott,SF,21,MIN,16,50,19.2,.590,.286,.571,4.9,4.3,4.6,9.2,2.0,5.3,3.7,24.1,0.1,0.1,0.2,.202,0.4,1.7,2.1,0.1
404,327,Davion Mitchell,PG,25,SAC,42,554,7.2,.503,.500,.149,1.4,8.1,4.7,16.9,0.9,0.3,13.2,14.5,0.0,0.3,0.3,.023,-4.2,-1.0,-5.2,-0.4
405,328,Donovan Mitchell,SG,27,CLE,42,1483,23.7,.601,.439,.277,3.1,13.6,8.5,29.2,2.6,1.4,10.8,32.2,3.4,2.7,6.0,.195,5.7,1.9,7.5,3.6
406,329,Evan Mobley,PF,22,CLE,28,878,19.3,.625,.066,.259,8.6,27.0,18.1,13.7,1.2,4.0,13.8,20.4,1.4,1.8,3.2,.173,0.2,2.2,2.4,1.0
407,330,Isaiah Mobley,PF,24,CLE,3,14,15.9,.625,.500,.000,0.0,15.4,7.9,38.3,3.5,0.0,20.0,15.5,0.0,0.0,0.1,.192,0.7,4.6,5.2,0.0
408,331,Malik Monk,SG,25,SAC,51,1308,16.4,.586,.518,.243,1.6,10.6,6.0,29.7,1.1,2.3,14.0,25.0,1.6,1.0,2.6,.097,2.3,-0.9,1.4,1.1
409,332,Moses Moody,SG,21,GSW,37,659,14.5,.597,.483,.239,6.7,11.6,9.2,6.8,1.8,1.9,9.3,18.5,0.8,0.6,1.5,.106,0.6,0.2,0.8,0.5
410,333,Xavier Moon,SG,29,LAC,2,12,6.9,.500,.500,.000,0.0,18.2,9.4,30.7,0.0,0.0,33.3,10.9,0.0,0.0,0.0,.027,-3.5,1.2,-2.3,0.0
411,334,Taze Moore,SG,25,POR,3,10,14.3,.600,.400,.000,0.0,0.0,0.0,19.6,4.9,0.0,16.7,25.6,0.0,0.0,0.0,.019,-4.7,1.8,-2.9,0.0
412,335,Wendell Moore Jr.,SG,22,MIN,14,44,8.6,.500,.400,.000,0.0,14.7,7.8,6.1,5.6,2.0,23.1,13.0,-0.1,0.1,0.0,.046,-7.2,6.0,-1.3,0.0
413,336,Ja Morant,PG,24,MEM,9,318,20.3,.570,.300,.376,2.0,15.9,8.7,41.4,1.1,1.5,12.0,30.4,0.5,0.3,0.8,.119,2.6,0.4,3.0,0.4
414,337,Marcus Morris,PF,34,PHI,37,637,10.4,.559,.439,.176,3.1,15.9,9.4,5.5,1.0,1.5,7.9,16.0,0.3,0.6,0.9,.071,-2.3,-1.2,-3.4,-0.2
415,338,Markieff Morris,PF,34,DAL,17,156,5.8,.443,.612,.082,2.8,18.5,10.6,8.9,1.5,0.6,15.1,16.4,-0.3,0.1,-0.1,-0.034,-4.6,-1.3,-5.9,-0.2
416,339,Monte Morris,PG,28,DET,6,68,8.3,.398,.333,.061,3.2,16.9,9.9,16.8,0.7,1.2,5.6,22.3,-0.1,0.0,-0.1,-0.068,-4.6,-2.3,-6.9,-0.1
417,340,Trey Murphy III,SF,23,NOP,28,717,14.5,.595,.700,.202,2.2,13.9,8.1,8.5,1.2,1.5,4.7,19.0,1.1,0.8,1.8,.122,1.4,-0.8,0.6,0.5
419,341,Dejounte Murray,SG,27,ATL,50,1754,17.0,.564,.352,.194,2.0,14.1,7.8,22.5,1.7,0.7,10.3,25.0,2.2,0.8,2.9,.080,1.5,-0.9,0.6,1.2
420,342,Jamal Murray,PG,26,DEN,39,1240,20.0,.577,.357,.193,2.5,11.4,7.0,31.4,1.3,1.9,10.0,27.6,2.4,1.2,3.6,.139,4.4,-0.6,3.8,1.8
421,343,Keegan Murray,SF,23,SAC,48,1557,13.6,.575,.511,.136,4.3,14.4,9.2,7.3,1.6,1.7,5.9,18.4,1.5,1.5,3.0,.092,-0.5,-0.6,-1.1,0.3
422,344,Kris Murray,SF,23,POR,32,431,9.5,.499,.496,.106,5.2,11.4,8.1,7.6,2.8,1.5,12.6,13.4,-0.1,0.4,0.3,.034,-3.4,0.9,-2.5,-0.1
423,345,Mike Muscala,C,32,TOT,35,490,8.2,.505,.635,.175,6.5,16.0,11.2,7.7,0.6,2.0,11.7,13.2,0.0,0.2,0.2,.015,-3.4,-1.4,-4.8,-0.4
424,345,Mike Muscala,C,32,WAS,24,338,7.6,.481,.567,.222,6.8,17.0,11.9,8.1,0.7,1.7,13.9,14.3,-0.2,0.1,0.0,-0.007,-4.5,-1.7,-6.3,-0.4
425,345,Mike Muscala,C,32,DET,11,152,9.5,.569,.806,.056,5.8,13.6,9.6,6.7,0.3,2.7,5.1,10.8,0.2,0.0,0.2,.065,-0.9,-0.7,-1.7,0.0
426,346,Svi Mykhailiuk,SF,26,BOS,22,168,7.4,.465,.825,.095,3.3,9.0,6.3,7.7,2.0,0.0,8.4,18.4,-0.1,0.2,0.1,.021,-4.4,-0.5,-4.9,-0.1
427,347,Larry Nance Jr.,C,31,NOP,35,637,15.3,.655,.305,.244,7.9,22.8,15.4,10.5,2.6,2.0,14.7,11.5,1.0,1.1,2.1,.159,-0.1,2.3,2.2,0.7
428,348,Pete Nance,PF,23,CLE,2,4,-18.8,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,-0.481,-19.4,-8.8,-28.3,0.0
429,349,Andrew Nembhard,PG,24,IND,40,894,11.4,.550,.289,.114,2.9,6.1,4.5,24.8,1.7,0.3,17.8,18.3,0.4,0.2,0.6,.035,-1.6,-1.4,-3.0,-0.2
430,350,Aaron Nesmith,SF,24,IND,49,1331,13.9,.657,.530,.202,4.1,12.6,8.3,6.5,1.9,1.9,9.3,16.2,2.0,0.9,2.9,.104,0.4,-0.1,0.3,0.8
431,351,Georges Niang,PF,30,CLE,51,1110,9.8,.564,.624,.096,1.7,16.4,9.3,7.9,0.5,0.9,8.3,17.5,0.5,1.5,1.9,.084,-2.5,0.0,-2.5,-0.1
432,352,Daishen Nix,PG,21,MIN,7,24,8.6,.463,.727,.182,0.0,4.5,2.4,6.1,2.1,0.0,0.0,21.8,0.0,0.0,0.0,.013,-3.5,-0.8,-4.3,0.0
433,353,Zeke Nnaji,PF,23,DEN,38,366,11.0,.517,.184,.439,12.8,12.0,12.4,7.9,1.2,4.7,17.0,16.7,0.0,0.5,0.5,.061,-4.6,-0.4,-5.0,-0.3
434,354,Jaylen Nowell,SG,24,MEM,9,156,6.6,.453,.418,.055,2.0,8.1,4.9,15.4,0.9,0.0,8.2,16.9,-0.1,0.1,0.0,-0.008,-6.0,-1.4,-7.4,-0.2
435,355,Markquis Nowell,SG,24,TOR,1,4,55.7,.532,.000,2.000,54.2,0.0,27.7,56.6,12.2,0.0,0.0,20.2,0.0,0.0,0.1,.677,29.0,14.4,43.4,0.0
436,356,Frank Ntilikina,PG,25,CHO,5,43,0.0,.253,.889,.222,2.5,13.8,7.8,11.3,0.0,0.0,9.2,11.0,-0.1,0.0,-0.1,-0.102,-10.1,-3.6,-13.6,-0.1
437,357,Jusuf Nurkić,C,29,PHO,50,1369,17.7,.573,.187,.359,11.6,29.9,21.3,18.8,1.8,3.1,16.5,19.7,1.6,2.3,3.9,.137,-0.8,1.5,0.7,0.9
438,358,Jordan Nwora,SF,25,TOT,26,295,13.4,.569,.460,.194,4.9,14.4,9.6,13.6,1.6,0.9,12.4,21.9,0.2,0.2,0.3,.055,-1.0,-1.9,-2.9,-0.1
439,358,Jordan Nwora,SF,25,IND,18,183,12.1,.541,.439,.134,5.0,15.7,10.4,12.7,1.5,0.4,12.1,22.5,0.0,0.1,0.1,.023,-1.9,-2.3,-4.2,-0.1
440,358,Jordan Nwora,SF,25,TOR,8,112,15.6,.618,.500,.310,4.8,12.1,8.4,15.0,1.7,1.6,12.8,21.0,0.2,0.1,0.2,.106,0.5,-1.3,-0.9,0.0
441,359,Royce O'Neale,SF,30,TOT,50,1213,10.2,.543,.814,.067,3.5,16.9,10.0,14.8,1.3,2.2,13.3,13.7,0.5,1.1,1.7,.066,-1.5,0.9,-0.6,0.4
442,359,Royce O'Neale,SF,30,BRK,49,1202,10.2,.544,.815,.068,3.3,16.9,9.9,14.9,1.3,2.2,13.2,13.7,0.5,1.1,1.6,.066,-1.5,0.9,-0.6,0.4
443,359,Royce O'Neale,SF,30,PHO,1,11,16.0,.500,.667,.000,22.2,19.7,20.9,11.4,4.4,8.0,25.0,15.8,0.0,0.0,0.0,.122,-1.2,4.0,2.8,0.0
444,360,Chuma Okeke,SF,25,ORL,31,374,7.8,.489,.724,.051,5.5,16.6,10.9,6.1,0.9,1.7,10.7,12.9,-0.1,0.5,0.4,.046,-2.6,-0.2,-2.8,-0.1
446,361,Josh Okogie,SG,25,PHO,47,825,12.1,.551,.455,.506,8.9,9.3,9.1,8.2,2.5,2.2,10.4,12.6,0.9,0.9,1.9,.108,-1.4,1.0,-0.4,0.3
447,362,Onyeka Okongwu,C,23,ATL,52,1334,16.6,.676,.187,.329,10.8,18.4,14.5,7.0,0.8,3.8,10.3,13.4,3.3,0.8,4.0,.145,-0.1,-0.5,-0.6,0.5
448,363,Isaac Okoro,SF,23,CLE,42,1103,11.6,.595,.387,.343,5.0,8.0,6.6,9.3,1.6,1.5,9.8,13.6,1.3,1.6,2.9,.125,-2.0,1.4,-0.5,0.4
449,364,Kelly Olynyk,C,32,TOT,51,1041,17.3,.671,.321,.362,7.1,20.0,13.7,28.9,1.8,1.1,21.1,15.7,2.4,0.9,3.3,.154,1.3,1.6,2.9,1.3
450,364,Kelly Olynyk,C,32,UTA,50,1019,17.1,.677,.326,.368,6.9,20.3,13.6,29.1,1.7,1.0,21.3,15.5,2.4,0.9,3.3,.154,1.2,1.6,2.8,1.2
451,364,Kelly Olynyk,C,32,TOR,1,22,23.8,.506,.200,.200,19.7,10.3,15.1,19.4,6.6,4.0,15.5,25.1,0.0,0.0,0.1,.125,5.5,3.5,9.0,0.1
452,365,Eugene Omoruyi,SF,26,WAS,23,167,21.8,.587,.272,.358,13.9,18.8,16.3,17.3,4.2,0.5,12.2,26.9,0.3,0.2,0.5,.135,0.9,0.7,1.6,0.2
453,366,Cedi Osman,SF,28,SAS,53,957,11.6,.596,.568,.166,2.2,13.3,7.7,12.9,1.3,0.8,9.5,15.7,0.7,0.5,1.3,.063,-1.5,-0.7,-2.2,0.0
454,367,Kelly Oubre Jr.,SF,28,PHI,40,1144,13.4,.553,.407,.259,4.7,12.8,8.7,5.4,1.9,1.8,6.3,20.0,0.8,1.3,2.1,.088,-1.3,-0.8,-2.1,0.0
455,368,Chris Paul,PG,38,GSW,32,882,14.3,.543,.486,.171,1.2,13.6,7.5,33.7,2.0,0.3,12.6,14.3,1.7,0.8,2.5,.136,0.1,1.0,1.1,0.7
456,369,Cameron Payne,PG,29,TOT,49,759,12.6,.594,.581,.191,1.2,8.1,4.8,20.8,1.5,0.4,11.3,16.8,1.1,0.5,1.6,.101,-0.9,-0.5,-1.4,0.1
457,369,Cameron Payne,PG,29,MIL,47,702,12.4,.603,.590,.198,0.8,8.6,4.8,20.1,1.5,0.3,11.4,16.5,1.0,0.5,1.5,.102,-1.0,-0.4,-1.5,0.1
458,369,Cameron Payne,PG,29,PHI,2,57,14.8,.513,.500,.125,5.8,1.9,3.9,29.9,1.7,1.6,10.6,21.1,0.1,0.0,0.1,.088,1.2,-1.4,-0.2,0.0
459,370,Gary Payton II,SG,31,GSW,17,275,12.8,.557,.393,.107,7.2,13.3,10.3,7.3,3.2,2.0,10.2,14.9,0.2,0.4,0.6,.097,-1.9,2.4,0.5,0.2
460,371,Drew Peterson,PF,24,BOS,1,3,43.4,1.500,1.000,.000,0.0,0.0,0.0,59.5,0.0,0.0,0.0,14.4,0.0,0.0,0.0,.746,28.4,13.5,41.8,0.0
461,372,Filip Petrušev,C,23,TOT,3,10,5.0,.521,.000,1.000,0.0,11.1,5.5,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,.023,-4.8,-3.3,-8.2,0.0
462,372,Filip Petrušev,C,23,PHI,1,3,4.0,,,,0.0,37.0,18.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.059,-3.0,-2.1,-5.1,0.0
463,372,Filip Petrušev,C,23,SAC,2,7,5.4,.521,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,.007,-5.7,-3.8,-9.5,0.0
464,373,Julian Phillips,SF,20,CHI,29,191,4.4,.481,.523,.250,3.4,7.8,5.6,5.5,0.3,3.2,12.5,12.9,-0.1,0.1,0.0,-0.003,-6.8,-1.0,-7.8,-0.3
465,374,Jalen Pickett,SG,24,DEN,16,97,9.2,.571,.714,.071,1.2,11.4,6.3,15.7,1.5,0.0,17.2,15.6,0.0,0.1,0.1,.050,-2.4,-0.6,-3.0,0.0
466,375,Scotty Pippen Jr.,PG,23,MEM,7,156,16.8,.637,.346,.404,4.1,13.3,8.5,30.1,2.5,1.8,19.7,21.0,0.2,0.2,0.4,.128,0.7,1.9,2.6,0.2
467,376,Mason Plumlee,C,33,LAC,21,380,16.9,.686,.000,.740,9.9,26.7,18.6,8.3,0.9,1.9,11.3,13.2,1.0,0.5,1.5,.186,0.3,0.3,0.5,0.2
468,377,Brandin Podziemski,SG,20,GSW,44,1152,13.1,.537,.385,.145,6.4,17.6,12.0,19.1,1.6,0.6,12.0,16.1,1.2,1.1,2.3,.096,-0.6,0.5,-0.1,0.5
469,378,Jakob Poeltl,C,28,TOR,42,1127,18.1,.679,.000,.308,11.1,24.3,17.5,12.6,1.2,5.0,17.3,15.4,1.9,1.4,3.2,.137,-0.8,1.1,0.3,0.7
470,379,Aleksej Pokusevski,PF,22,OKC,10,60,2.4,.338,.688,.250,3.9,14.3,9.3,9.8,0.8,1.5,14.5,15.0,-0.1,0.1,-0.1,-0.067,-7.8,-2.3,-10.1,-0.1
471,380,Jordan Poole,SG,24,WAS,50,1459,10.4,.515,.451,.212,1.3,7.3,4.2,17.7,1.7,0.9,12.2,25.3,-1.4,0.4,-1.0,-0.032,-3.8,-2.1,-5.9,-1.4
473,381,Craig Porter Jr.,PG,23,CLE,32,469,15.9,.559,.127,.279,3.6,14.7,9.3,27.4,1.8,2.3,15.1,20.1,0.5,0.8,1.2,.128,-0.7,1.9,1.2,0.4
474,382,Jontay Porter,PF,24,TOR,16,214,14.7,.498,.529,.176,8.6,18.5,13.5,17.7,2.7,4.5,10.9,16.5,0.2,0.3,0.5,.102,-0.8,1.6,0.7,0.1
475,383,Michael Porter Jr.,SF,25,DEN,52,1640,14.6,.590,.527,.095,4.7,19.9,12.4,6.1,0.7,2.0,7.4,20.1,1.6,1.8,3.4,.099,0.8,-1.4,-0.6,0.6
476,384,Otto Porter Jr.,SF,30,TOR,15,174,8.7,.568,.697,.091,3.7,14.9,9.2,5.7,1.4,2.5,5.5,9.0,0.1,0.1,0.3,.077,-3.6,0.4,-3.3,-0.1
477,385,Bobby Portis,PF,28,MIL,53,1267,15.9,.573,.296,.165,7.7,23.6,15.9,6.1,1.5,1.4,7.8,21.1,1.2,1.5,2.7,.102,-0.9,-1.1,-1.9,0.0
478,386,Kristaps Porziņģis,C,28,BOS,39,1165,22.6,.659,.392,.449,5.9,18.2,12.3,9.8,1.0,5.5,9.9,24.7,3.3,2.0,5.3,.219,3.1,1.6,4.6,1.9
479,387,Micah Potter,PF,25,UTA,2,7,1.6,.000,1.000,.000,0.0,61.8,31.3,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,-0.061,-8.2,-3.3,-11.6,0.0
480,388,Dwight Powell,C,32,DAL,46,718,15.1,.746,.022,.871,12.3,15.3,13.8,12.7,1.5,2.2,17.3,9.3,2.1,0.7,2.8,.184,-0.5,0.8,0.3,0.4
481,389,Norman Powell,SG,30,LAC,51,1289,14.0,.636,.485,.232,0.7,10.4,5.8,5.6,1.0,1.2,7.4,19.6,1.9,1.1,3.0,.111,0.3,-0.9,-0.6,0.5
482,390,Jason Preston,PG,24,UTA,1,1,-11.9,,,,100.0,0.0,54.7,0.0,0.0,0.0,100.0,41.5,0.0,0.0,0.0,-0.928,-7.9,-17.3,-25.3,0.0
483,391,Joshua Primo,SG,21,LAC,1,5,-15.5,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,17.9,60.0,43.6,-0.1,0.0,-0.1,-0.795,-20.2,-8.2,-28.5,0.0
484,392,Taurean Prince,PF,29,LAL,51,1539,8.4,.576,.653,.121,0.9,9.6,5.4,7.4,1.4,1.4,10.1,13.3,0.1,1.3,1.4,.044,-3.0,0.0,-3.0,-0.4
485,393,Payton Pritchard,PG,26,BOS,53,1091,13.4,.571,.678,.106,4.8,11.1,8.1,18.2,1.0,0.5,7.8,15.6,2.0,1.2,3.2,.141,0.5,0.2,0.7,0.7
486,394,Olivier-Maxence Prosper,PF,21,DAL,28,249,10.1,.470,.478,.493,7.5,18.7,13.0,9.6,0.6,0.7,4.5,15.1,0.2,0.2,0.3,.063,-2.3,-1.5,-3.9,-0.1
487,395,Trevelin Queen,SG,26,ORL,12,155,9.1,.484,.444,.333,2.2,11.3,6.7,15.5,2.2,3.0,14.5,13.4,0.0,0.2,0.2,.065,-4.2,1.7,-2.5,0.0
488,396,Neemias Queta,C,24,BOS,22,269,19.2,.634,.000,.270,17.3,21.0,19.3,5.6,1.6,4.6,8.8,14.5,0.7,0.5,1.3,.226,-1.0,0.6,-0.4,0.1
489,397,Immanuel Quickley,SG-PG,24,TOT,48,1300,16.0,.577,.471,.259,1.0,11.6,6.3,20.2,1.1,0.3,7.4,23.2,2.4,0.9,3.3,.122,1.9,-1.0,0.9,1.0
490,397,Immanuel Quickley,SG,24,NYK,30,720,16.8,.598,.484,.281,0.8,11.1,5.9,15.6,1.1,0.4,7.6,24.1,1.5,0.7,2.2,.147,2.4,-0.2,2.2,0.8
491,397,Immanuel Quickley,PG,24,TOR,18,580,15.0,.548,.454,.231,1.3,12.3,6.7,25.9,1.0,0.3,7.1,22.0,0.9,0.3,1.1,.092,1.3,-1.9,-0.6,0.2
492,398,Lester Quinones,SG,23,GSW,16,204,10.1,.552,.623,.174,7.0,14.3,10.7,11.0,0.7,0.9,12.9,17.5,0.1,0.1,0.3,.059,-2.0,-1.1,-3.0,-0.1
493,399,Julius Randle,PF,29,NYK,46,1630,18.6,.569,.292,.361,6.8,22.0,14.4,22.4,0.8,0.7,14.1,29.5,1.9,2.0,3.8,.113,1.9,-0.3,1.7,1.5
494,400,Duop Reath,C,27,POR,38,667,16.4,.607,.515,.191,8.3,16.9,12.4,10.9,1.4,2.4,9.3,20.0,1.1,0.6,1.7,.123,0.7,-0.1,0.6,0.4
496,401,Austin Reaves,SG,25,LAL,54,1676,15.7,.616,.425,.327,2.6,11.0,7.0,24.3,1.4,0.5,14.0,20.6,2.5,1.3,3.8,.110,0.7,-0.6,0.1,0.9
497,402,Cam Reddish,SF,24,LAL,35,815,8.4,.519,.463,.224,2.7,8.5,5.7,7.3,2.5,1.2,11.8,13.5,-0.3,0.9,0.6,.035,-4.0,1.1,-2.9,-0.2
498,403,Paul Reed,C,24,PHI,52,887,16.6,.576,.117,.155,13.6,20.3,16.9,9.9,2.0,4.0,11.6,15.3,1.4,1.4,2.7,.147,-1.0,0.5,-0.5,0.3
499,404,Naz Reid,C,24,MIN,52,1163,15.8,.607,.492,.151,4.9,17.9,11.8,7.3,1.6,3.0,10.8,22.5,0.7,2.3,3.0,.124,0.6,1.1,1.6,1.1
500,405,Jared Rhoden,SG,24,DET,6,42,10.1,.631,.364,.182,2.6,10.9,6.7,13.0,0.0,3.9,20.2,15.0,0.0,0.0,0.0,.029,-2.2,0.2,-2.1,0.0
501,406,Nick Richards,C,26,CHO,43,1109,16.7,.709,.000,.525,10.8,24.4,17.2,4.8,0.6,4.6,13.7,13.2,2.3,0.7,3.1,.133,-1.8,-0.8,-2.6,-0.2
502,407,Josh Richardson,SG,30,MIA,43,1103,11.3,.573,.548,.156,1.8,10.8,6.2,13.9,1.1,1.2,8.9,16.3,0.9,1.1,2.0,.085,-1.5,-0.1,-1.6,0.1
503,408,Duncan Robinson,SF,29,MIA,48,1312,12.2,.610,.677,.148,0.9,9.2,5.0,15.3,1.1,0.7,11.3,19.4,1.1,1.2,2.3,.083,-0.4,-0.9,-1.3,0.2
504,409,Jerome Robinson,SG,26,GSW,9,30,-2.5,.172,.556,.667,3.7,7.2,5.4,7.5,0.0,3.0,0.0,16.3,-0.1,0.0,-0.1,-0.168,-11.2,-5.0,-16.2,-0.1
505,410,Mitchell Robinson,C,25,NYK,21,613,16.0,.567,.000,.388,20.4,18.8,19.6,3.2,2.6,4.1,15.5,9.4,0.9,1.1,2.0,.158,-0.4,1.0,0.6,0.4
506,411,Orlando Robinson,C,23,MIA,23,235,14.8,.608,.213,.393,9.0,22.0,15.4,16.6,1.1,2.9,15.4,15.9,0.3,0.3,0.7,.140,-1.6,0.8,-0.8,0.1
507,412,Jeremiah Robinson-Earl,PF,23,NOP,21,210,13.6,.621,.379,.190,8.0,17.9,13.0,6.3,1.6,1.4,12.5,14.7,0.3,0.3,0.5,.120,-0.9,-0.1,-1.0,0.1
508,413,David Roddy,PF,22,MEM,48,1114,8.6,.485,.404,.174,4.8,15.4,9.9,10.2,1.1,0.9,11.5,18.1,-1.0,1.1,0.1,.004,-4.0,-1.0,-5.0,-0.9
